,District,Neighborhood
0,Fulton County: Buckhead,Chastain Park
1,Fulton County: Buckhead,Collier Hills
2,Fulton County: Buckhead,Collier Hills North
3,Fulton County: Buckhead,Colonial Homes
4,Fulton County: Buckhead,East Chastain Park
5,Fulton County: Buckhead,Garden Hills
6,Fulton County: Buckhead,Fernleaf
7,Fulton County: Buckhead,Lenox
8,Fulton County: Buckhead,Haynes Manor
9,Fulton County: Buckhead,Historic Brookhaven
10,Fulton County: Buckhead,Kingswood
11,Fulton County: Buckhead,Lindbergh/Morosgo
12,Fulton County: Buckhead,Loring Heights
13,Fulton County: Buckhead,Margaret Mitchell
14,Fulton County: Buckhead,Mount Paran/Northside
15,Fulton County: Buckhead,Mount Paran Parkway
16,Fulton County: Buckhead,North Buckhead
17,Fulton County: Buckhead,Paces
18,Fulton County: Buckhead,Peachtree Heights East
19,Fulton County: Buckhead,Peachtree Heights West
20,Fulton County: Buckhead,Peachtree Hills
21,Fulton County: Buckhead,Peachtree Battle Alliance
22,Fulton County: Buckhead,Peachtree Park
23,Fulton County: Buckhead,Pine Hills
24,Fulton County: Buckhead,Randall Mill
25,Fulton County: Buckhead,Ridgedale Park
26,Fulton County: Buckhead,Springlake
27,Fulton County: Buckhead,South Tuxedo Park
28,Fulton County: Buckhead,Tuxedo Park
29,Fulton County: Buckhead,Underwood Hills
30,Fulton County: Buckhead,West Paces Ferry/Northside
31,Fulton County: Buckhead,Westminster/Milmar
32,Fulton County: Buckhead,Wesley Battle
33,Fulton County: Buckhead,West Peachtree Battle
34,Fulton County: Buckhead,Whitewater Creek
35,Fulton County: Buckhead,Wildwood
36,Fulton County: Buckhead,Woodfield
37,Fulton County: Buckhead,Wyngate
38,Fulton County: Buckhead,Ardmore
39,Fulton County: Buckhead,Argonne Forest
40,Fulton County: Buckhead,Arden/Habersham
41,Fulton County: Buckhead,Brookhaven
42,Fulton County: Buckhead,Buckhead Forest
43,Fulton County: Buckhead,Brandon
44,Fulton County: Buckhead,Brookwood
45,Fulton County: Buckhead,Brookwood Hills
46,Fulton County: Buckhead,Buckhead Forest
47,Fulton County: Buckhead,Buckhead Village
48,Fulton County: Buckhead,Castlewood
49,Fulton County: Buckhead,Channing Valley
50,Fulton County: Buckhead,Cross Creek
51,Fulton County: NW Atlanta,Almond Park
52,Fulton County: NW Atlanta,Atlanta Industrial Park
53,Fulton County: NW Atlanta,Bankhead
54,Fulton County: NW Atlanta,Bankhead Courts
55,Fulton County: NW Atlanta,Bolton
56,Fulton County: NW Atlanta,Bankhead/Bolton
57,Fulton County: NW Atlanta,Bolton Hills
58,Fulton County: NW Atlanta,Bowen Apartments
59,Fulton County: NW Atlanta,Brookview Heights
60,Fulton County: NW Atlanta,Carey Park
61,Fulton County: NW Atlanta,Carver Hills
62,Fulton County: NW Atlanta,Center Hill
63,Fulton County: NW Atlanta,Chattahoochee
64,Fulton County: NW Atlanta,Dixie Hills
65,Fulton County: NW Atlanta,English Avenue
66,Fulton County: NW Atlanta,English Park
67,Fulton County: NW Atlanta,Grove Park
68,Fulton County: NW Atlanta,Harvel Homes
69,Fulton County: NW Atlanta,Hills Park
70,Fulton County: NW Atlanta,Hunter Hills
71,Fulton County: NW Atlanta,Knight Park/Howell Station
72,Fulton County: NW Atlanta,Monroe Heights
73,Fulton County: NW Atlanta,Mozley Park
74,Fulton County: NW Atlanta,Penelope Neighbors
75,Fulton County: NW Atlanta,Riverside
76,Fulton County: NW Atlanta,Ridgewood Heights
77,Fulton County: NW Atlanta,Rockdale
78,Fulton County: NW Atlanta,Scotts Crossing
79,Fulton County: NW Atlanta,Vine City
80,Fulton County: NW Atlanta,Washington Park
81,Fulton County: NW Atlanta,West Highlands
82,Fulton County: NW Atlanta,West Lake
83,Fulton County: NW Atlanta,South Oaks
84,Fulton County: NW Atlanta,Westover Plantation
85,Fulton County: NW Atlanta,Whittier Mill Village
86,Fulton County: SW Atlanta,Adair Park
87,Fulton County: SW Atlanta,Adams Park
88,Fulton County: SW Atlanta,Adamsville
89,Fulton County: SW Atlanta,Arlington Estates
90,Fulton County: SW Atlanta,Ashley Collegetown
91,Fulton County: SW Atlanta,Ashley Courts
92,Fulton County: SW Atlanta,Ashview Heights
93,Fulton County: SW Atlanta,Atlanta University Center
94,Fulton County: SW Atlanta,Audubon Forest
95,Fulton County: SW Atlanta,Audubon Forest West
96,Fulton County: SW Atlanta,Baker Hills
97,Fulton County: SW Atlanta,Bakers Ferry
98,Fulton County: SW Atlanta,Beecher Hills
99,Fulton County: SW Atlanta,Ben Hill
100,Fulton County: SW Atlanta,Ben Hill Acres
101,Fulton County: SW Atlanta,Ben Hill Forest
102,Fulton County: SW Atlanta,Ben Hill Pines
103,Fulton County: SW Atlanta,Ben Hill Terrace
104,Fulton County: SW Atlanta,Boulder Park
105,Fulton County: SW Atlanta,Brentwood
106,Fulton County: SW Atlanta,Briar Glen
107,Fulton County: SW Atlanta,Bush Mountain
108,Fulton County: SW Atlanta,Butner/Tell
109,Fulton County: SW Atlanta,Campbellton Road
110,Fulton County: SW Atlanta,Capitol View
111,Fulton County: SW Atlanta,Capitol View Manor
112,Fulton County: SW Atlanta,Carroll Heights
113,Fulton County: SW Atlanta,Cascade Avenue/Road
114,Fulton County: SW Atlanta,Cascade Green
115,Fulton County: SW Atlanta,Cascade Heights
116,Fulton County: SW Atlanta,Chalet Woods
117,Fulton County: SW Atlanta,Collier Heights
118,Fulton County: SW Atlanta,Deerwood
119,Fulton County: SW Atlanta,East Ardley Road
120,Fulton County: SW Atlanta,Elmco Estates
121,Fulton County: SW Atlanta,Fairburn
122,Fulton County: SW Atlanta,Fairburn Heights
123,Fulton County: SW Atlanta,Fairburn Road/Wisteria Lane
124,Fulton County: SW Atlanta,Fairburn Tell
125,Fulton County: SW Atlanta,Fairburn Mays
126,Fulton County: SW Atlanta,Fairway Acres
127,Fulton County: SW Atlanta,Florida Heights
128,Fulton County: SW Atlanta,Fort McPherson
129,Fulton County: SW Atlanta,Fort Valley
130,Fulton County: SW Atlanta,Green Acres Valley
131,Fulton County: SW Atlanta,Green Forest Acres
132,Fulton County: SW Atlanta,Greenbriar
133,Fulton County: SW Atlanta,Greenbriar Village
134,Fulton County: SW Atlanta,Hammond Park
135,Fulton County: SW Atlanta,Harland Terrace
136,Fulton County: SW Atlanta,Heritage Valley
137,Fulton County: SW Atlanta,Horseshoe Community
138,Fulton County: SW Atlanta,Hunter Hills
139,Fulton County: SW Atlanta,Huntington
140,Fulton County: SW Atlanta,Ivan Hill
141,Fulton County: SW Atlanta,Just Us
142,Fulton County: SW Atlanta,Kings Forest
143,Fulton County: SW Atlanta,Lake Estates
144,Fulton County: SW Atlanta,Laurens Valley
145,Fulton County: SW Atlanta,Magnum Manor
146,Fulton County: SW Atlanta,Mays
147,Fulton County: SW Atlanta,Meadowbrook Forest
148,Fulton County: SW Atlanta,Mechanicsville
149,Fulton County: SW Atlanta,Mellwood
150,Fulton County: SW Atlanta,Midwest Cascade
151,Fulton County: SW Atlanta,Mt. Gilead Woods
152,Fulton County: SW Atlanta,Niskey Cove
153,Fulton County: SW Atlanta,Niskey Lake
154,Fulton County: SW Atlanta,Oakcliff
155,Fulton County: SW Atlanta,Oakland City
156,Fulton County: SW Atlanta,Old Fairburn Village
157,Fulton County: SW Atlanta,Old Gordon
158,Fulton County: SW Atlanta,Pomona Park
159,Fulton County: SW Atlanta,Perkerson
160,Fulton County: SW Atlanta,Peyton Forest
161,Fulton County: SW Atlanta,Pittsburgh
162,Fulton County: SW Atlanta,Princeton Lakes
163,Fulton County: SW Atlanta,Regency Trace
164,Fulton County: SW Atlanta,Ridgecrest Forest
165,Fulton County: SW Atlanta,Rue Royal
166,Fulton County: SW Atlanta,Sandlewood Estates
167,Fulton County: SW Atlanta,South Oaks
168,Fulton County: SW Atlanta,Southwest
169,Fulton County: SW Atlanta,Summerdale Commons
170,Fulton County: SW Atlanta,Sylvan Hills
171,Fulton County: SW Atlanta,Tampa Park
172,Fulton County: SW Atlanta,Venetian Hills
173,Fulton County: SW Atlanta,West End
174,Fulton County: SW Atlanta,West Manor
175,Fulton County: SW Atlanta,Westhaven
176,Fulton County: SW Atlanta,Westview
177,Fulton County: SW Atlanta,Westwood Terrace
178,Fulton County: SW Atlanta,Wildwood
179,Fulton County: SW Atlanta,Wildwood Forest
180,Fulton County: SW Atlanta,Wilson Mill Meadows
181,Fulton County: SW Atlanta,Wisteria Gardens
182,Fulton County: SE Atlanta,Amal Heights
183,Fulton County: SE Atlanta,Benteen Park
184,Fulton County: SE Atlanta,Betmar LaVilla
185,Fulton County: SE Atlanta,Blair Villa/Poole Creek
186,Fulton County: SE Atlanta,Boulevard Heights
187,Fulton County: SE Atlanta,Browns Mill Park
188,Fulton County: SE Atlanta,Chosewood Park
189,Fulton County: SE Atlanta,Custer/McDonough/Guice
190,Fulton County: SE Atlanta,Englewood Manor
191,Fulton County: SE Atlanta,Glenrose Heights
192,Fulton County: SE Atlanta,Grant Park
193,Fulton County: SE Atlanta,High Point
194,Fulton County: SE Atlanta,Joyland
195,Fulton County: SE Atlanta,Lakewood
196,Fulton County: SE Atlanta,Lakewood Heights
197,Fulton County: SE Atlanta,Leila Valley
198,Fulton County: SE Atlanta,Norwood Manor
199,Fulton County: SE Atlanta,Orchard Knob
200,Fulton County: SE Atlanta,Peoplestown
201,Fulton County: SE Atlanta,Polar Rock
202,Fulton County: SE Atlanta,Rebel Valley Forest
203,Fulton County: SE Atlanta,Rosedale Heights
204,Fulton County: SE Atlanta,South Atlanta
205,Fulton County: SE Atlanta,South River Gardens
206,Fulton County: SE Atlanta,State Facility
207,Fulton County: SE Atlanta,Summerhill
208,Fulton County: SE Atlanta,Summerdale Commons
209,Fulton County: SE Atlanta,Swallow Circle/Baywood
210,Fulton County: SE Atlanta,The Villages at Carver
211,Fulton County: SE Atlanta,Thomasville Heights
212,Fulton County: SE Atlanta,Woodland Hills
213,Fulton County: NE Atlanta,Atkins Park
214,Fulton County: NE Atlanta,Avondale Estates
215,Fulton County: NE Atlanta,Cabbagetown
216,Fulton County: NE Atlanta,Candler Park
217,Fulton County: NE Atlanta,Druid Hills
218,Fulton County: NE Atlanta,East Atlanta
219,Fulton County: NE Atlanta,East Lake
220,Fulton County: NE Atlanta,Edgewood
221,Fulton County: NE Atlanta,Inman Park
222,Fulton County: NE Atlanta,Kirkwood
223,Fulton County: NE Atlanta,Lake Claire
224,Fulton County: NE Atlanta,Lindridge-Martin Manor
225,Fulton County: NE Atlanta,Morningside-Lenox Park
226,Fulton County: NE Atlanta,Oakland
227,Fulton County: NE Atlanta,Old Fourth Ward
228,Fulton County: NE Atlanta,Ormewood Park
229,Fulton County: NE Atlanta,Piedmont Heights
230,Fulton County: NE Atlanta,Poncey-Highland
231,Fulton County: NE Atlanta,Reynoldstown
232,Fulton County: NE Atlanta,Sweet Auburn
233,Fulton County: NE Atlanta,Scottdale
234,Fulton County: NE Atlanta,Virginia-Highland
235,Fulton County: CBD Atlanta,Berkeley Park
236,Fulton County: CBD Atlanta,Blandtown
237,Fulton County: CBD Atlanta,Western Home Park
238,Fulton County: CBD Atlanta,Knight Park/Howell Station
239,Fulton County: CBD Atlanta,Marietta Street Artery
240,Fulton County: CBD Atlanta,Ansley Park
241,Fulton County: CBD Atlanta,Atlantic Station
242,Fulton County: CBD Atlanta,Georgia Tech and Technology Square
243,Fulton County: CBD Atlanta,Home Park
244,Fulton County: CBD Atlanta,Loring Heights
245,Fulton County: CBD Atlanta,Sherwood Forest
246,Fulton County: CBD Atlanta,Midtown
247,Fulton County: CBD Atlanta,Downtown
248,Fulton County: CBD Atlanta,Ashley Collegetown
249,Fulton County: CBD Atlanta,Capitol Gateway
250,Fulton County: CBD Atlanta,Castleberry Hill
