ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2019,"2019",0,"Total",170096,32241,"Census Tract 201, DeKalb County, GA","14000US13089020100"
2019,"2019",0,"Total",84867,7158,"Census Tract 202, DeKalb County, GA","14000US13089020200"
2019,"2019",0,"Total",147614,16020,"Census Tract 203, DeKalb County, GA","14000US13089020300"
2019,"2019",0,"Total",106103,17835,"Census Tract 204, DeKalb County, GA","14000US13089020400"
2019,"2019",0,"Total",65694,19701,"Census Tract 205, DeKalb County, GA","14000US13089020500"
2019,"2019",0,"Total",63313,16471,"Census Tract 206, DeKalb County, GA","14000US13089020600"
2019,"2019",0,"Total",95417,23915,"Census Tract 207, DeKalb County, GA","14000US13089020700"
2019,"2019",0,"Total",94662,8453,"Census Tract 208.01, DeKalb County, GA","14000US13089020801"
2019,"2019",0,"Total",73981,16256,"Census Tract 208.02, DeKalb County, GA","14000US13089020802"
2019,"2019",0,"Total",71618,15977,"Census Tract 209, DeKalb County, GA","14000US13089020900"
2019,"2019",0,"Total",110775,11426,"Census Tract 224.01, DeKalb County, GA","14000US13089022401"
2019,"2019",0,"Total",47712,11888,"Census Tract 237, DeKalb County, GA","14000US13089023700"
2019,"2019",0,"Total",168396,18644,"Census Tract 1, Fulton County, GA","14000US13121000100"
2019,"2019",0,"Total",158011,37856,"Census Tract 2, Fulton County, GA","14000US13121000200"
2019,"2019",0,"Total",97257,30528,"Census Tract 4, Fulton County, GA","14000US13121000400"
2019,"2019",0,"Total",90140,13217,"Census Tract 5, Fulton County, GA","14000US13121000500"
2019,"2019",0,"Total",53686,9322,"Census Tract 6, Fulton County, GA","14000US13121000600"
2019,"2019",0,"Total",84107,33365,"Census Tract 7, Fulton County, GA","14000US13121000700"
2019,"2019",0,"Total",103846,10554,"Census Tract 10.01, Fulton County, GA","14000US13121001001"
2019,"2019",0,"Total",31042,9051,"Census Tract 10.02, Fulton County, GA","14000US13121001002"
2019,"2019",0,"Total",109426,7959.000000000001,"Census Tract 11, Fulton County, GA","14000US13121001100"
2019,"2019",0,"Total",80476,16521,"Census Tract 12.01, Fulton County, GA","14000US13121001201"
2019,"2019",0,"Total",93143,10792,"Census Tract 12.02, Fulton County, GA","14000US13121001202"
2019,"2019",0,"Total",76188,11395,"Census Tract 13, Fulton County, GA","14000US13121001300"
2019,"2019",0,"Total",84167,8586,"Census Tract 14, Fulton County, GA","14000US13121001400"
2019,"2019",0,"Total",66490,6927,"Census Tract 15, Fulton County, GA","14000US13121001500"
2019,"2019",0,"Total",78182,25052,"Census Tract 16, Fulton County, GA","14000US13121001600"
2019,"2019",0,"Total",94750,19507,"Census Tract 17, Fulton County, GA","14000US13121001700"
2019,"2019",0,"Total",49486,5036,"Census Tract 18, Fulton County, GA","14000US13121001800"
2019,"2019",0,"Total",62656,21061,"Census Tract 19, Fulton County, GA","14000US13121001900"
2019,"2019",0,"Total",68618,25309,"Census Tract 21, Fulton County, GA","14000US13121002100"
2019,"2019",0,"Total",26683,7261,"Census Tract 23, Fulton County, GA","14000US13121002300"
2019,"2019",0,"Total",28056,9167,"Census Tract 24, Fulton County, GA","14000US13121002400"
2019,"2019",0,"Total",30283,6291,"Census Tract 25, Fulton County, GA","14000US13121002500"
2019,"2019",0,"Total",33611,7929,"Census Tract 26, Fulton County, GA","14000US13121002600"
2019,"2019",0,"Total",33165,13713,"Census Tract 28, Fulton County, GA","14000US13121002800"
2019,"2019",0,"Total",71210,13097,"Census Tract 29, Fulton County, GA","14000US13121002900"
2019,"2019",0,"Total",113125,15951,"Census Tract 30, Fulton County, GA","14000US13121003000"
2019,"2019",0,"Total",62250,21179,"Census Tract 31, Fulton County, GA","14000US13121003100"
2019,"2019",0,"Total",111830,10292,"Census Tract 32, Fulton County, GA","14000US13121003200"
2019,"2019",0,"Total",53889,14004.000000000002,"Census Tract 35, Fulton County, GA","14000US13121003500"
2019,"2019",0,"Total",53152,9688,"Census Tract 36, Fulton County, GA","14000US13121003600"
2019,"2019",0,"Total",23684,22973,"Census Tract 37, Fulton County, GA","14000US13121003700"
2019,"2019",0,"Total",20625,2261,"Census Tract 38, Fulton County, GA","14000US13121003800"
2019,"2019",0,"Total",33000,7751,"Census Tract 39, Fulton County, GA","14000US13121003900"
2019,"2019",0,"Total",32417,3836,"Census Tract 40, Fulton County, GA","14000US13121004000"
2019,"2019",0,"Total",54208,14881,"Census Tract 41, Fulton County, GA","14000US13121004100"
2019,"2019",0,"Total",18913,7776,"Census Tract 42, Fulton County, GA","14000US13121004200"
2019,"2019",0,"Total",36750,19771,"Census Tract 43, Fulton County, GA","14000US13121004300"
2019,"2019",0,"Total",23587,5417,"Census Tract 44, Fulton County, GA","14000US13121004400"
2019,"2019",0,"Total",19612,4574,"Census Tract 48, Fulton County, GA","14000US13121004800"
2019,"2019",0,"Total",84655,25401,"Census Tract 49, Fulton County, GA","14000US13121004900"
2019,"2019",0,"Total",75570,8334,"Census Tract 50, Fulton County, GA","14000US13121005000"
2019,"2019",0,"Total",111759,26398,"Census Tract 52, Fulton County, GA","14000US13121005200"
2019,"2019",0,"Total",102303,15988.000000000002,"Census Tract 53, Fulton County, GA","14000US13121005300"
2019,"2019",0,"Total",37647,10422,"Census Tract 55.01, Fulton County, GA","14000US13121005501"
2019,"2019",0,"Total",21804,7465.999999999999,"Census Tract 55.02, Fulton County, GA","14000US13121005502"
2019,"2019",0,"Total",25170,9232,"Census Tract 57, Fulton County, GA","14000US13121005700"
2019,"2019",0,"Total",42679,16189,"Census Tract 58, Fulton County, GA","14000US13121005800"
2019,"2019",0,"Total",38708,6010,"Census Tract 60, Fulton County, GA","14000US13121006000"
2019,"2019",0,"Total",29323,7824.999999999999,"Census Tract 61, Fulton County, GA","14000US13121006100"
2019,"2019",0,"Total",37500,9862,"Census Tract 62, Fulton County, GA","14000US13121006200"
2019,"2019",0,"Total",31483,5419,"Census Tract 63, Fulton County, GA","14000US13121006300"
2019,"2019",0,"Total",30395,12631,"Census Tract 64, Fulton County, GA","14000US13121006400"
2019,"2019",0,"Total",50163,18386,"Census Tract 65, Fulton County, GA","14000US13121006500"
2019,"2019",0,"Total",44250,13380,"Census Tract 66.01, Fulton County, GA","14000US13121006601"
2019,"2019",0,"Total",25375,9725,"Census Tract 66.02, Fulton County, GA","14000US13121006602"
2019,"2019",0,"Total",25651,3355,"Census Tract 67, Fulton County, GA","14000US13121006700"
2019,"2019",0,"Total",14375,3462,"Census Tract 68.02, Fulton County, GA","14000US13121006802"
2019,"2019",0,"Total",73429,16925,"Census Tract 69, Fulton County, GA","14000US13121006900"
2019,"2019",0,"Total",29528,7083,"Census Tract 70.01, Fulton County, GA","14000US13121007001"
2019,"2019",0,"Total",45451,11842,"Census Tract 70.02, Fulton County, GA","14000US13121007002"
2019,"2019",0,"Total",25489,7196.999999999999,"Census Tract 71, Fulton County, GA","14000US13121007100"
2019,"2019",0,"Total",27083,11520,"Census Tract 72, Fulton County, GA","14000US13121007200"
2019,"2019",0,"Total",32044,5150,"Census Tract 73, Fulton County, GA","14000US13121007300"
2019,"2019",0,"Total",19740,4441,"Census Tract 74, Fulton County, GA","14000US13121007400"
2019,"2019",0,"Total",26205,6037,"Census Tract 75, Fulton County, GA","14000US13121007500"
2019,"2019",0,"Total",32500,5264,"Census Tract 76.02, Fulton County, GA","14000US13121007602"
2019,"2019",0,"Total",13456,1859.0000000000002,"Census Tract 76.03, Fulton County, GA","14000US13121007603"
2019,"2019",0,"Total",21863,3775,"Census Tract 76.04, Fulton County, GA","14000US13121007604"
2019,"2019",0,"Total",44452,8403,"Census Tract 77.03, Fulton County, GA","14000US13121007703"
2019,"2019",0,"Total",35814,3688.0000000000005,"Census Tract 77.04, Fulton County, GA","14000US13121007704"
2019,"2019",0,"Total",25906,3376,"Census Tract 77.05, Fulton County, GA","14000US13121007705"
2019,"2019",0,"Total",45101,11629,"Census Tract 77.06, Fulton County, GA","14000US13121007706"
2019,"2019",0,"Total",51388,7637,"Census Tract 78.02, Fulton County, GA","14000US13121007802"
2019,"2019",0,"Total",31174,5355,"Census Tract 78.05, Fulton County, GA","14000US13121007805"
2019,"2019",0,"Total",41529,9476,"Census Tract 78.06, Fulton County, GA","14000US13121007806"
2019,"2019",0,"Total",24398,13106,"Census Tract 78.07, Fulton County, GA","14000US13121007807"
2019,"2019",0,"Total",12485,1531,"Census Tract 78.08, Fulton County, GA","14000US13121007808"
2019,"2019",0,"Total",61125,9654,"Census Tract 79, Fulton County, GA","14000US13121007900"
2019,"2019",0,"Total",43854,7378,"Census Tract 80, Fulton County, GA","14000US13121008000"
2019,"2019",0,"Total",44878,8374,"Census Tract 81.01, Fulton County, GA","14000US13121008101"
2019,"2019",0,"Total",27119,6010,"Census Tract 81.02, Fulton County, GA","14000US13121008102"
2019,"2019",0,"Total",38080,6372,"Census Tract 82.01, Fulton County, GA","14000US13121008201"
2019,"2019",0,"Total",27093,4754,"Census Tract 82.02, Fulton County, GA","14000US13121008202"
2019,"2019",0,"Total",25060,8358,"Census Tract 83.01, Fulton County, GA","14000US13121008301"
2019,"2019",0,"Total",28318,5166,"Census Tract 83.02, Fulton County, GA","14000US13121008302"
2019,"2019",0,"Total",24183,4702,"Census Tract 84, Fulton County, GA","14000US13121008400"
2019,"2019",0,"Total",24890,5200,"Census Tract 85, Fulton County, GA","14000US13121008500"
2019,"2019",0,"Total",22696,3511.0000000000005,"Census Tract 86.01, Fulton County, GA","14000US13121008601"
2019,"2019",0,"Total",37708,2806,"Census Tract 86.02, Fulton County, GA","14000US13121008602"
2019,"2019",0,"Total",33732,5735,"Census Tract 87, Fulton County, GA","14000US13121008700"
2019,"2019",0,"Total",103385,16611,"Census Tract 88, Fulton County, GA","14000US13121008800"
2019,"2019",0,"Total",72432,9763,"Census Tract 89.02, Fulton County, GA","14000US13121008902"
2019,"2019",0,"Total",75978,2837,"Census Tract 89.03, Fulton County, GA","14000US13121008903"
2019,"2019",0,"Total",85517,12012,"Census Tract 89.04, Fulton County, GA","14000US13121008904"
2019,"2019",0,"Total",111146,18513,"Census Tract 90, Fulton County, GA","14000US13121009000"
2019,"2019",0,"Total",79489,4861,"Census Tract 91.01, Fulton County, GA","14000US13121009101"
2019,"2019",0,"Total",59444,35224,"Census Tract 91.02, Fulton County, GA","14000US13121009102"
2019,"2019",0,"Total",71482,7243,"Census Tract 92, Fulton County, GA","14000US13121009200"
2019,"2019",0,"Total",106128,30461.000000000004,"Census Tract 93, Fulton County, GA","14000US13121009300"
2019,"2019",0,"Total",75088,9360,"Census Tract 94.02, Fulton County, GA","14000US13121009402"
2019,"2019",0,"Total",63269,11972,"Census Tract 94.03, Fulton County, GA","14000US13121009403"
2019,"2019",0,"Total",81004,27370.000000000004,"Census Tract 94.04, Fulton County, GA","14000US13121009404"
2019,"2019",0,"Total",185521,44731,"Census Tract 95.01, Fulton County, GA","14000US13121009501"
2019,"2019",0,"Total",86053,24545,"Census Tract 95.02, Fulton County, GA","14000US13121009502"
2019,"2019",0,"Total",107386,16146,"Census Tract 96.01, Fulton County, GA","14000US13121009601"
2019,"2019",0,"Total",102778,16294,"Census Tract 96.02, Fulton County, GA","14000US13121009602"
2019,"2019",0,"Total",83243,15103,"Census Tract 96.03, Fulton County, GA","14000US13121009603"
2019,"2019",0,"Total",208750,66170,"Census Tract 97, Fulton County, GA","14000US13121009700"
2019,"2019",0,"Total",125375,57273,"Census Tract 98.01, Fulton County, GA","14000US13121009801"
2019,"2019",0,"Total",165583,50208,"Census Tract 98.02, Fulton County, GA","14000US13121009802"
2019,"2019",0,"Total",152500,26329,"Census Tract 99, Fulton County, GA","14000US13121009900"
2019,"2019",0,"Total",108197,33166,"Census Tract 100.01, Fulton County, GA","14000US13121010001"
2019,"2019",0,"Total",146182,34313,"Census Tract 100.02, Fulton County, GA","14000US13121010002"
2019,"2019",0,"Total",72450,8547,"Census Tract 101.14, Fulton County, GA","14000US13121010114"
2019,"2019",0,"Total",192375,49707,"Census Tract 102.06, Fulton County, GA","14000US13121010206"
2019,"2019",0,"Total",142750,22560,"Census Tract 102.11, Fulton County, GA","14000US13121010211"
2019,"2019",0,"Total",71457,7532,"Census Tract 103.03, Fulton County, GA","14000US13121010303"
2019,"2019",0,"Total",44881,5604,"Census Tract 108, Fulton County, GA","14000US13121010800"
2019,"2019",0,"Total",30972,14528.999999999998,"Census Tract 118, Fulton County, GA","14000US13121011800"
2019,"2019",0,"Total",25699,8747,"Census Tract 119, Fulton County, GA","14000US13121011900"
2019,"2019",0,"Total",27188,8303,"Census Tract 120, Fulton County, GA","14000US13121012000"
2018,"2018",0,"Total",184875,41471,"Census Tract 201, DeKalb County, GA","14000US13089020100"
2018,"2018",0,"Total",84844,7336.000000000001,"Census Tract 202, DeKalb County, GA","14000US13089020200"
2018,"2018",0,"Total",127019,24863,"Census Tract 203, DeKalb County, GA","14000US13089020300"
2018,"2018",0,"Total",82882,20651,"Census Tract 204, DeKalb County, GA","14000US13089020400"
2018,"2018",0,"Total",50260,6430,"Census Tract 205, DeKalb County, GA","14000US13089020500"
2018,"2018",0,"Total",55735,25849,"Census Tract 206, DeKalb County, GA","14000US13089020600"
2018,"2018",0,"Total",59375,15724.999999999998,"Census Tract 207, DeKalb County, GA","14000US13089020700"
2018,"2018",0,"Total",91716,10024,"Census Tract 208.01, DeKalb County, GA","14000US13089020801"
2018,"2018",0,"Total",63315,14483.000000000002,"Census Tract 208.02, DeKalb County, GA","14000US13089020802"
2018,"2018",0,"Total",68445,8252,"Census Tract 209, DeKalb County, GA","14000US13089020900"
2018,"2018",0,"Total",106583,13914.000000000002,"Census Tract 224.01, DeKalb County, GA","14000US13089022401"
2018,"2018",0,"Total",47068,3437,"Census Tract 237, DeKalb County, GA","14000US13089023700"
2018,"2018",0,"Total",154911,16762,"Census Tract 1, Fulton County, GA","14000US13121000100"
2018,"2018",0,"Total",128171,42295,"Census Tract 2, Fulton County, GA","14000US13121000200"
2018,"2018",0,"Total",88971,17833,"Census Tract 4, Fulton County, GA","14000US13121000400"
2018,"2018",0,"Total",91765,23987,"Census Tract 5, Fulton County, GA","14000US13121000500"
2018,"2018",0,"Total",53728,7109,"Census Tract 6, Fulton County, GA","14000US13121000600"
2018,"2018",0,"Total",74891,19285,"Census Tract 7, Fulton County, GA","14000US13121000700"
2018,"2018",0,"Total",95900,12245,"Census Tract 10.01, Fulton County, GA","14000US13121001001"
2018,"2018",0,"Total",31389,9014,"Census Tract 10.02, Fulton County, GA","14000US13121001002"
2018,"2018",0,"Total",106791,4986,"Census Tract 11, Fulton County, GA","14000US13121001100"
2018,"2018",0,"Total",60074,13515,"Census Tract 12.01, Fulton County, GA","14000US13121001201"
2018,"2018",0,"Total",82188,14650,"Census Tract 12.02, Fulton County, GA","14000US13121001202"
2018,"2018",0,"Total",76322,9399,"Census Tract 13, Fulton County, GA","14000US13121001300"
2018,"2018",0,"Total",80168,5513,"Census Tract 14, Fulton County, GA","14000US13121001400"
2018,"2018",0,"Total",70404,12350,"Census Tract 15, Fulton County, GA","14000US13121001500"
2018,"2018",0,"Total",74200,15858,"Census Tract 16, Fulton County, GA","14000US13121001600"
2018,"2018",0,"Total",73558,11596,"Census Tract 17, Fulton County, GA","14000US13121001700"
2018,"2018",0,"Total",42107,9719,"Census Tract 18, Fulton County, GA","14000US13121001800"
2018,"2018",0,"Total",59375,17788,"Census Tract 19, Fulton County, GA","14000US13121001900"
2018,"2018",0,"Total",47917,13274,"Census Tract 21, Fulton County, GA","14000US13121002100"
2018,"2018",0,"Total",26705,6597,"Census Tract 23, Fulton County, GA","14000US13121002300"
2018,"2018",0,"Total",27453,7585,"Census Tract 24, Fulton County, GA","14000US13121002400"
2018,"2018",0,"Total",28667,6383,"Census Tract 25, Fulton County, GA","14000US13121002500"
2018,"2018",0,"Total",32763,9048,"Census Tract 26, Fulton County, GA","14000US13121002600"
2018,"2018",0,"Total",28429,7702,"Census Tract 28, Fulton County, GA","14000US13121002800"
2018,"2018",0,"Total",66687,5928,"Census Tract 29, Fulton County, GA","14000US13121002900"
2018,"2018",0,"Total",105950,5667,"Census Tract 30, Fulton County, GA","14000US13121003000"
2018,"2018",0,"Total",50526,15637,"Census Tract 31, Fulton County, GA","14000US13121003100"
2018,"2018",0,"Total",99609,17042,"Census Tract 32, Fulton County, GA","14000US13121003200"
2018,"2018",0,"Total",57083,17475,"Census Tract 35, Fulton County, GA","14000US13121003500"
2018,"2018",0,"Total",43906,16727,"Census Tract 36, Fulton County, GA","14000US13121003600"
2018,"2018",0,"Total",16830,14112,"Census Tract 37, Fulton County, GA","14000US13121003700"
2018,"2018",0,"Total",21181,8703,"Census Tract 38, Fulton County, GA","14000US13121003800"
2018,"2018",0,"Total",30294,8469,"Census Tract 39, Fulton County, GA","14000US13121003900"
2018,"2018",0,"Total",31011,4416,"Census Tract 40, Fulton County, GA","14000US13121004000"
2018,"2018",0,"Total",47159,13742,"Census Tract 41, Fulton County, GA","14000US13121004100"
2018,"2018",0,"Total",16162,3914,"Census Tract 42, Fulton County, GA","14000US13121004200"
2018,"2018",0,"Total",35483,10525,"Census Tract 43, Fulton County, GA","14000US13121004300"
2018,"2018",0,"Total",20146,8711,"Census Tract 44, Fulton County, GA","14000US13121004400"
2018,"2018",0,"Total",22316,6717,"Census Tract 48, Fulton County, GA","14000US13121004800"
2018,"2018",0,"Total",83456,15094,"Census Tract 49, Fulton County, GA","14000US13121004900"
2018,"2018",0,"Total",85250,15196.000000000002,"Census Tract 50, Fulton County, GA","14000US13121005000"
2018,"2018",0,"Total",96866,14495,"Census Tract 52, Fulton County, GA","14000US13121005200"
2018,"2018",0,"Total",104750,14786,"Census Tract 53, Fulton County, GA","14000US13121005300"
2018,"2018",0,"Total",31000,12288,"Census Tract 55.01, Fulton County, GA","14000US13121005501"
2018,"2018",0,"Total",24489,9855,"Census Tract 55.02, Fulton County, GA","14000US13121005502"
2018,"2018",0,"Total",20980,3321,"Census Tract 57, Fulton County, GA","14000US13121005700"
2018,"2018",0,"Total",31288,7004.999999999999,"Census Tract 58, Fulton County, GA","14000US13121005800"
2018,"2018",0,"Total",41504,8509,"Census Tract 60, Fulton County, GA","14000US13121006000"
2018,"2018",0,"Total",27849,8044.000000000001,"Census Tract 61, Fulton County, GA","14000US13121006100"
2018,"2018",0,"Total",40000,10515,"Census Tract 62, Fulton County, GA","14000US13121006200"
2018,"2018",0,"Total",25676,5017,"Census Tract 63, Fulton County, GA","14000US13121006300"
2018,"2018",0,"Total",26958,2806,"Census Tract 64, Fulton County, GA","14000US13121006400"
2018,"2018",0,"Total",44954,11001,"Census Tract 65, Fulton County, GA","14000US13121006500"
2018,"2018",0,"Total",35197,11795,"Census Tract 66.01, Fulton County, GA","14000US13121006601"
2018,"2018",0,"Total",18534,4611,"Census Tract 66.02, Fulton County, GA","14000US13121006602"
2018,"2018",0,"Total",25449,4537,"Census Tract 67, Fulton County, GA","14000US13121006700"
2018,"2018",0,"Total",11736,4944,"Census Tract 68.02, Fulton County, GA","14000US13121006802"
2018,"2018",0,"Total",59922,22431,"Census Tract 69, Fulton County, GA","14000US13121006900"
2018,"2018",0,"Total",29295,5296,"Census Tract 70.01, Fulton County, GA","14000US13121007001"
2018,"2018",0,"Total",37577,10990,"Census Tract 70.02, Fulton County, GA","14000US13121007002"
2018,"2018",0,"Total",22452,7353.999999999999,"Census Tract 71, Fulton County, GA","14000US13121007100"
2018,"2018",0,"Total",29808,9161,"Census Tract 72, Fulton County, GA","14000US13121007200"
2018,"2018",0,"Total",26369,7358,"Census Tract 73, Fulton County, GA","14000US13121007300"
2018,"2018",0,"Total",19552,4521,"Census Tract 74, Fulton County, GA","14000US13121007400"
2018,"2018",0,"Total",26604,4667,"Census Tract 75, Fulton County, GA","14000US13121007500"
2018,"2018",0,"Total",32667,4252,"Census Tract 76.02, Fulton County, GA","14000US13121007602"
2018,"2018",0,"Total",13982,1721.9999999999998,"Census Tract 76.03, Fulton County, GA","14000US13121007603"
2018,"2018",0,"Total",20851,3947,"Census Tract 76.04, Fulton County, GA","14000US13121007604"
2018,"2018",0,"Total",43381,5093,"Census Tract 77.03, Fulton County, GA","14000US13121007703"
2018,"2018",0,"Total",33683,1905.0000000000002,"Census Tract 77.04, Fulton County, GA","14000US13121007704"
2018,"2018",0,"Total",25357,3372,"Census Tract 77.05, Fulton County, GA","14000US13121007705"
2018,"2018",0,"Total",37473,9511,"Census Tract 77.06, Fulton County, GA","14000US13121007706"
2018,"2018",0,"Total",49861,8092,"Census Tract 78.02, Fulton County, GA","14000US13121007802"
2018,"2018",0,"Total",33054,3980,"Census Tract 78.05, Fulton County, GA","14000US13121007805"
2018,"2018",0,"Total",38232,10013,"Census Tract 78.06, Fulton County, GA","14000US13121007806"
2018,"2018",0,"Total",20792,8605,"Census Tract 78.07, Fulton County, GA","14000US13121007807"
2018,"2018",0,"Total",13263,1792.9999999999998,"Census Tract 78.08, Fulton County, GA","14000US13121007808"
2018,"2018",0,"Total",59181,8888,"Census Tract 79, Fulton County, GA","14000US13121007900"
2018,"2018",0,"Total",41217,8233,"Census Tract 80, Fulton County, GA","14000US13121008000"
2018,"2018",0,"Total",41597,10215,"Census Tract 81.01, Fulton County, GA","14000US13121008101"
2018,"2018",0,"Total",25573,3597.0000000000005,"Census Tract 81.02, Fulton County, GA","14000US13121008102"
2018,"2018",0,"Total",37801,12709,"Census Tract 82.01, Fulton County, GA","14000US13121008201"
2018,"2018",0,"Total",28032,2731,"Census Tract 82.02, Fulton County, GA","14000US13121008202"
2018,"2018",0,"Total",24053,6108,"Census Tract 83.01, Fulton County, GA","14000US13121008301"
2018,"2018",0,"Total",29185,3716,"Census Tract 83.02, Fulton County, GA","14000US13121008302"
2018,"2018",0,"Total",21422,4970,"Census Tract 84, Fulton County, GA","14000US13121008400"
